item_code,item_name,system,trade,unit,typical_qty_notes,labor_hours_low,labor_hours_high,material_low,material_high,complexity_modifiers_notes,permit_likely,specialist_required
ROOF-013,Install gutter guards (basic),Exterior,Gutters,lf,"Typical 50–200 LF",4.0,12.0,100,800,"Roof edge type, heavy leaf load, two-story",no,no
EXT-019,Replace exterior caulked expansion joint (siding/trim),Exterior,Handyman,lf,"Often 20–80 LF",2.0,8.0,15,120,"Old caulk removal time, wet/dirty surfaces, ladder work",no,no
EXT-020,Repair exterior spigot leak (packing/washer),Exterior,Plumber,ea,"Per spigot",0.5,2.0,0,20,"Old valves, seized stems, freeze damage",no,no
SITE-008,Install basic French drain (short run),Site/Drainage,Drainage,lf,"Often 20–60 LF",10.0,24.0,300,1500,"Clay soils, outlets, fabric/stone depth, access",no,yes
SITE-009,Downspout tie-in to existing storm line (connection only),Site/Drainage,Drainage,ea,"Per downspout",2.0,6.0,30,200,"Unknown line depth, cleanout needs, permits in some areas",no,yes
FOUND-008,Install exterior hose bibb vacuum breaker (anti-siphon),Plumbing,Plumber,ea,"Per spigot",0.3,1.0,8,25,"Stuck threads, compatibility",no,no
STRUCT-009,Repair minor stair tread/risers (squeak/loose),Interior,Carpentry,ea,"Per stair area",2.0,8.0,10,80,"Finish matching, access from below, structural stringer issues",no,no
STRUCT-010,Install earthquake/strapping for water heater (where applicable),Plumbing,Handyman/Plumber,ea,"Per heater",0.5,2.0,15,60,"Wall type, clearance, code details",no,no
HVAC-018,Replace duct register/grille,HVAC,Handyman,ea,"Per register",0.2,0.8,8,40,"Odd sizes, painting/cut-in",no,no
HVAC-019,Seal refrigerant line set penetration (air/water),HVAC,HVAC,ea,"Per penetration",0.5,1.5,5,25,"UV exposure, large gaps, pest entry",no,no
INTERIOR-016,Install door closer (interior/utility),Interior,Handyman,ea,"Per door",1.0,2.5,20,80,"Hollow core reinforcement, alignment",no,no
INTERIOR-017,Replace bathroom mirror (basic),Interior,Handyman,ea,"Per mirror",1.0,3.0,40,250,"Wall damage, adhesive removal, heavy mirrors",no,no
INTERIOR-018,Replace toilet paper holder/towel bar (repair anchors),Interior,Handyman,ea,"Per item",0.5,2.0,10,60,"Tile drilling, failed anchors",no,no
INTERIOR-019,Install/replace window blinds (standard),Interior,Handyman,ea,"Per window",0.3,1.0,20,120,"Non-standard sizes, high windows",no,no
INTERIOR-020,Repair minor cabinet door/hinge alignment,Interior,Handyman,ea,"Per door",0.2,0.8,0,20,"Stripped screw holes, broken hinges",no,no
INSUL-006,Add pipe insulation on exposed hot water lines,Plumbing/Insulation,Handyman,lf,"Often 10–40 LF",0.5,2.5,10,60,"Tight joist bays, valves/fittings interruptions",no,no
APPL-010,Install leak pan and water alarm under washer/heater (basic),Appliances/Plumbing,Handyman,ea,"Per location",0.5,2.0,20,120,"Drain routing adds complexity, tight closets",no,no
